[2026-05-05 14:06:02,168] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PFC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,230] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for JPPOWER: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,283] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PCJEWELLER: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,326] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IIFLCAPS: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,387] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IRCTC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,431] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for EXIDEIND: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,465] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HYUNDAI: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,501] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for FORCEMOT: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,534] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IOC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,572] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for KEC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,606] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for NMDC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,651] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for LT: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,704] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IGL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:02,737] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for JSWINFRA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,779] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for M&MFIN: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,816] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for INDUSTOWER: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,865] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PFC: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,907] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for DLF: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:02,971] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HEROMOTOCO: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:03,021] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for PRAJIND: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
